"iso3c","buffer","pop"
"ABW",5,711517.992
"ABW",10,1131262.3
"ABW",15,1365836.73
"ABW",20,1470387.4
"ABW",25,1498605.1
"ABW",30,1507415.7
"AIA",5,76656.3554073945
"AIA",10,172473.632341638
"AIA",15,329060.280407317
"AIA",20,557922.438069016
"AIA",25,842749.156829878
"AIA",30,914272.5371937
"ARE",5,424228.893467426
"ARE",10,1104964.8476493
"ARE",15,1764135.96183405
"ARE",20,2492979.67249498
"ARE",25,3274638.65502092
"ARE",30,3992759.15229488
"ASM",5,1334703.96928422
"ASM",10,2100825.84386934
"ASM",15,2511712.64313114
"ASM",20,2710659.49416066
"ASM",25,2793230.36998888
"ASM",30,2812590.78001547
"ATF",5,0
"ATF",10,0
"ATF",15,0
"ATF",20,0
"ATF",25,0
"ATF",30,0
"ATG",5,270193.594101012
"ATG",10,859334.603430707
"ATG",15,1097998.88469731
"ATG",20,1196562.63751629
"ATG",25,1230516.73238918
"ATG",30,1231270.94817209
"AUS",5,566269.358923453
"AUS",10,2218309.98764648
"AUS",15,5056179.17124545
"AUS",20,7821982.13401795
"AUS",25,12263745.5165268
"AUS",30,16938821.412146
"BES",5,86895.1698029191
"BES",10,207771.6540144
"BES",15,269364.417884293
"BES",20,324675.716734071
"BES",25,360978.78832103
"BES",30,384931.981178331
"BGD",5,5955.00053167343
"BGD",10,6167.69955062866
"BGD",15,42046.032199502
"BGD",20,102066.634574532
"BGD",25,225227.699879765
"BGD",30,339333.816171303
"BHR",5,685.714913807809
"BHR",10,2920.03136645257
"BHR",15,454616.766966772
"BHR",20,25775442.3081354
"BHR",25,85276987.8172653
"BHR",30,194914721.527058
"BHS",5,776960.569739193
"BHS",10,1849587.20590126
"BHS",15,2244316.3111357
"BHS",20,2371762.3970412
"BHS",25,2515533.49397172
"BHS",30,2608339.98791057
"BLM",5,29339.6677935123
"BLM",10,36284.1446980535
"BLM",15,78064.1059542595
"BLM",20,184309.903051436
"BLM",25,272577.394024789
"BLM",30,355386.000583768
"BLZ",5,130490.560631035
"BLZ",10,339197.987756705
"BLZ",15,569723.455409477
"BLZ",20,951008.886093753
"BLZ",25,1377861.29944788
"BLZ",30,1946388.03950795
"BMU",5,393417.912197195
"BMU",10,705653.306240969
"BMU",15,795139.494243548
"BMU",20,830310.611896545
"BMU",25,856549.595167541
"BMU",30,865338.923383616
"BRA",5,7518253.8566365
"BRA",10,17457161.7521252
"BRA",15,29234607.335917
"BRA",20,34850243.3445011
"BRA",25,38578474.4803467
"BRA",30,41668065.1344476
"BRB",5,339556.349937201
"BRB",10,527651.604226828
"BRB",15,700074.435461522
"BRB",20,905208.177585125
"BRB",25,1101995.49734688
"BRB",30,1152563.37152958
"BRN",5,2353.66381072998
"BRN",10,27064.4795714915
"BRN",15,99259.1375767067
"BRN",20,227095.912406079
"BRN",25,385935.928324783
"BRN",30,517512.880513368
"CCK",5,2036.02697043866
"CCK",10,2214.05592939258
"CCK",15,2214.05592939258
"CCK",20,2214.05592939258
"CCK",25,2214.05592939258
"CCK",30,2415.48034116626
"CHN",5,3862785.67896447
"CHN",10,12080299.3097679
"CHN",15,21765991.4710192
"CHN",20,30488077.4514437
"CHN",25,41974766.4765092
"CHN",30,57236299.2446034
"COK",5,74493.5962456912
"COK",10,100077.813360907
"COK",15,100126.484928265
"COK",20,100217.48428854
"COK",25,100218.312369756
"COK",30,100218.312369756
"COL",5,1908903.2962485
"COL",10,3686474.15221907
"COL",15,5487130.25726604
"COL",20,7245805.42167429
"COL",25,8756906.87536578
"COL",30,10742495.1349114
"COM",5,7599508.07578695
"COM",10,17096287.5721611
"COM",15,25324791.8011224
"COM",20,31177175.5471289
"COM",25,34834454.3913245
"COM",30,37397097.1521951
"CRI",5,235804.977913175
"CRI",10,406933.520571534
"CRI",15,617630.586552627
"CRI",20,938317.324728376
"CRI",25,1356279.28289408
"CRI",30,1773717.95293513
"CUB",5,4704822.10863139
"CUB",10,10846429.3772605
"CUB",15,17704505.7832804
"CUB",20,24432796.2453911
"CUB",25,30994432.859506
"CUB",30,39258136.9466702
"CUW",5,1038496.71342
"CUW",10,2422903.733
"CUW",15,3161681.974
"CUW",20,3700802.211
"CUW",25,4305666.93
"CUW",30,4825320.42
"CXR",5,10909.5157676253
"CXR",10,13340.8669589243
"CXR",15,19744.2633118886
"CXR",20,20691.0480524948
"CXR",25,20691.0480524948
"CXR",30,20691.0480524948
"CYM",5,517068.560339451
"CYM",10,737934.470527552
"CYM",15,874643.537209086
"CYM",20,883630.895630881
"CYM",25,901610.128184281
"CYM",30,927571.242394283
"DJI",5,1024836.06532385
"DJI",10,1962901.70550886
"DJI",15,2913163.36317785
"DJI",20,3889057.53208039
"DJI",25,4271556.69013808
"DJI",30,4745991.63941434
"DMA",5,91363.2564992309
"DMA",10,138481.597634256
"DMA",15,176300.856980979
"DMA",20,207240.796004117
"DMA",25,236814.638763159
"DMA",30,288948.506877899
"DOM",5,4874778.7295771
"DOM",10,10013087.2210648
"DOM",15,15186873.2382635
"DOM",20,21765183.4134761
"DOM",25,27669719.8137613
"DOM",30,32818525.2757656
"ECU",5,27113.6793841625
"ECU",10,46078.5531494115
"ECU",15,48917.9557151815
"ECU",20,73209.0542743399
"ECU",25,109507.813227893
"ECU",30,122941.202221491
"EGY",5,1506918.93556373
"EGY",10,2763524.14980917
"EGY",15,3680400.43935865
"EGY",20,4815718.03284711
"EGY",25,6558686.76443462
"EGY",30,8992965.9154696
"ERI",5,171962.655690352
"ERI",10,271958.375261566
"ERI",15,396343.179586815
"ERI",20,501861.049949991
"ERI",25,612095.511485225
"ERI",30,752300.770919912
"FJI",5,6680139.43955506
"FJI",10,63045719.4577058
"FJI",15,145475485.125767
"FJI",20,253532093.549007
"FJI",25,360458324.674081
"FJI",30,479028587.183186
"FSM",5,501688.61563279
"FSM",10,616705.257058977
"FSM",15,686354.732641744
"FSM",20,775081.517079575
"FSM",25,823192.451090375
"FSM",30,834558.54553657
"GLP",5,682611.026325919
"GLP",10,1313629.41060181
"GLP",15,1848164.09124866
"GLP",20,2268779.07255818
"GLP",25,2633617.61865356
"GLP",30,2862659.76613487
"GRD",5,422186.443445682
"GRD",10,642682.917867973
"GRD",15,782105.777920068
"GRD",20,856569.583477019
"GRD",25,886603.158323795
"GRD",30,904889.600354166
"GUM",5,1917786.67038824
"GUM",10,5563674.56373042
"GUM",15,8394024.27654727
"GUM",20,10452725.0229002
"GUM",25,12281420.5325655
"GUM",30,13419428.6984383
"HND",5,556650.669518486
"HND",10,720551.519962505
"HND",15,1001120.11166622
"HND",20,1418168.83687615
"HND",25,2089258.00830318
"HND",30,3006375.98029055
"HTI",5,15966024.6855586
"HTI",10,35937325.3146868
"HTI",15,50862671.9077776
"HTI",20,64044864.200109
"HTI",25,75457024.3937069
"HTI",30,85534061.1234335
"IDN",5,105410846.487133
"IDN",10,274898041.689571
"IDN",15,489448976.85751
"IDN",20,752142996.484373
"IDN",25,1045284623.8377
"IDN",30,1360787410.00604
"IND",5,17038541.3563111
"IND",10,56558581.8224909
"IND",15,90386432.6592748
"IND",20,126421735.227647
"IND",25,160977805.261261
"IND",30,189661340.574277
"IOT",5,0
"IOT",10,0
"IOT",15,0
"IOT",20,0
"IOT",25,0
"IOT",30,0
"IRN",5,600363.196350657
"IRN",10,916208.870630659
"IRN",15,1228716.55250997
"IRN",20,1547283.01945387
"IRN",25,1776647.74017346
"IRN",30,2091045.96221808
"ISR",5,14417.7212706208
"ISR",10,120384.089482367
"ISR",15,229433.767381214
"ISR",20,277737.476965897
"ISR",25,301805.546669632
"ISR",30,317915.122343495
"JAM",5,2200934.19729187
"JAM",10,5706918.00767489
"JAM",15,10215196.3174075
"JAM",20,13841293.784725
"JAM",25,17169020.2743642
"JAM",30,21162724.9502765
"JOR",5,41203.3847770691
"JOR",10,94931.6758057773
"JOR",15,214177.133383736
"JOR",20,286067.931337774
"JOR",25,310504.145565941
"JOR",30,324296.017122761
"JPN",5,2605692.77693046
"JPN",10,3219851.40095898
"JPN",15,3396373.71118392
"JPN",20,3958153.78107702
"JPN",25,4911632.87625048
"JPN",30,7977953.94584639
"KEN",5,5496425.3213918
"KEN",10,12952041.9160404
"KEN",15,19081976.9232603
"KEN",20,25468775.8174398
"KEN",25,33803502.9370339
"KEN",30,42377739.1512084
"KHM",5,31458.1598906294
"KHM",10,243762.684625933
"KHM",15,557223.35020056
"KHM",20,783571.811930779
"KHM",25,1112513.71556148
"KHM",30,1429299.76375928
"KIR",5,367531.501802085
"KIR",10,471374.731363713
"KIR",15,487681.145434881
"KIR",20,515115.074168477
"KIR",25,522854.615520739
"KIR",30,525011.64024444
"KNA",5,137604.771039665
"KNA",10,186799.771217942
"KNA",15,203705.626024842
"KNA",20,229969.84534502
"KNA",25,237798.38920188
"KNA",30,244881.455798566
"KWT",5,6491.73441272974
"KWT",10,42932.7407433093
"KWT",15,84237.6633491218
"KWT",20,199711.817511558
"KWT",25,984257.908947288
"KWT",30,2606723.72531473
"LCA",5,326366.738738596
"LCA",10,538947.655878603
"LCA",15,755147.653432995
"LCA",20,855133.199738829
"LCA",25,875536.83078274
"LCA",30,875536.83078274
"LKA",5,2108800.91822123
"LKA",10,4945999.03546076
"LKA",15,8879032.45032585
"LKA",20,12272593.7501066
"LKA",25,15229850.885156
"LKA",30,18235921.6603038
"MAF",5,219950.447259411
"MAF",10,496004.069622487
"MAF",15,587126.161112264
"MAF",20,631078.562313504
"MAF",25,665722.874928541
"MAF",30,709246.302991138
"MDG",5,5626482.17330526
"MDG",10,14405192.9709568
"MDG",15,25476575.0406308
"MDG",20,35980464.5608537
"MDG",25,46014837.5155333
"MDG",30,58377610.9746412
"MDV",5,2552701.6356641
"MDV",10,2958543.41443779
"MDV",15,3377186.17751466
"MDV",20,3495403.49589555
"MDV",25,3542657.00610824
"MDV",30,3733028.68407565
"MEX",5,3293618.05549911
"MEX",10,9838996.69709263
"MEX",15,17820210.6738011
"MEX",20,23573621.060709
"MEX",25,28063989.4062362
"MEX",30,32211196.2703426
"MHL",5,204053.104580039
"MHL",10,225512.632709775
"MHL",15,239062.793847229
"MHL",20,246745.357631039
"MHL",25,262696.768049944
"MHL",30,274175.089065336
"MMR",5,3540662.59083154
"MMR",10,8774295.35613323
"MMR",15,15645334.5633364
"MMR",20,23038915.2383448
"MMR",25,39438651.2041422
"MMR",30,85661612.8346207
"MNP",5,587446.983790515
"MNP",10,1014839.83081226
"MNP",15,1231606.80065919
"MNP",20,1450740.39353901
"MNP",25,1655608.6255245
"MNP",30,1802249.7422136
"MOZ",5,3601345.6987972
"MOZ",10,8643533.6399291
"MOZ",15,14727499.010717
"MOZ",20,21705436.7604
"MOZ",25,28720683.9292
"MOZ",30,37115946.625
"MSR",5,14242.8032544106
"MSR",10,15889.1880154162
"MSR",15,15889.1880154162
"MSR",20,15889.1880154162
"MSR",25,15889.1880154162
"MSR",30,15889.1880154162
"MTQ",5,550041.338600755
"MTQ",10,1552327.53096068
"MTQ",15,2179839.98776364
"MTQ",20,2601856.07502759
"MTQ",25,3034495.19566488
"MTQ",30,3216452.29268193
"MUS",5,3122349.86837588
"MUS",10,7827983.42442232
"MUS",15,13315866.8744959
"MUS",20,19278864.3544959
"MUS",25,24188016.4844959
"MUS",30,29286541.9844959
"MYS",5,5256764.48997213
"MYS",10,10658654.8600002
"MYS",15,16386077.6875459
"MYS",20,23505013.5048151
"MYS",25,31692295.2573433
"MYS",30,41145498.9535877
"MYT",5,1300522.87947702
"MYT",10,1800018.45111227
"MYT",15,2000501.11090183
"MYT",20,2116462.76359081
"MYT",25,2209917.3254807
"MYT",30,2302619.42631793
"NCL",5,643992.854740759
"NCL",10,1389971.64792104
"NCL",15,1811959.4871695
"NCL",20,2179359.9599633
"NCL",25,2578762.17093798
"NCL",30,2889216.02874641
"NIC",5,37538.7013594369
"NIC",10,42256.7124880676
"NIC",15,59385.4323847044
"NIC",20,84791.4409592983
"NIC",25,107042.060953908
"NIC",30,142177.859767276
"NIU",5,2986.22183342186
"NIU",10,3577.66300949733
"NIU",15,4169.34502548258
"NIU",20,4169.34502548258
"NIU",25,4169.34502548258
"NIU",30,4169.34502548258
"NRU",5,20386.1012992858
"NRU",10,20386.1012992858
"NRU",15,20386.1012992858
"NRU",20,20386.1012992858
"NRU",25,20386.1012992858
"NRU",30,20386.1012992858
"OMN",5,337192.10652023
"OMN",10,728329.326734217
"OMN",15,1167352.33885683
"OMN",20,1786291.0684886
"OMN",25,2540935.85121119
"OMN",30,3398326.66964361
"PAN",5,573529.285367997
"PAN",10,1265129.49766889
"PAN",15,1732824.32938989
"PAN",20,3862699.12314324
"PAN",25,6303768.09967978
"PAN",30,8909183.3399866
"PCN",5,242.690541252494
"PCN",10,266.923079170287
"PCN",15,266.923079170287
"PCN",20,266.923079170287
"PCN",25,266.923079170287
"PCN",30,266.923079170287
"PHL",5,199276787.971199
"PHL",10,416897980.060812
"PHL",15,638221610.637792
"PHL",20,884070073.316263
"PHL",25,1162073364.71718
"PHL",30,1449082076.67467
"PLW",5,796057.873230822
"PLW",10,1687480.8571426
"PLW",15,2289377.56488022
"PLW",20,2847601.14073028
"PLW",25,3362003.58055021
"PLW",30,3743123.95612733
"PNG",5,5991810.56685241
"PNG",10,12822581.8857035
"PNG",15,19662295.743602
"PNG",20,25920644.9934821
"PNG",25,31699679.5123152
"PNG",30,36890162.8761048
"PRI",5,4146000.25628926
"PRI",10,12909264.7021349
"PRI",15,21269798.9251759
"PRI",20,28481337.7580211
"PRI",25,36648789.1663172
"PRI",30,44883070.7177398
"PYF",5,1116960.17399378
"PYF",10,1421968.88982092
"PYF",15,1535904.16063527
"PYF",20,1654039.97735499
"PYF",25,1754443.04711382
"PYF",30,1822580.18848319
"QAT",5,344007.584456902
"QAT",10,3894220.50574057
"QAT",15,6249547.59791227
"QAT",20,8933663.54769998
"QAT",25,10625104.3732022
"QAT",30,11925786.7420667
"REU",5,400905.655097008
"REU",10,980633.695223809
"REU",15,1611961.03279257
"REU",20,2035643.47383273
"REU",25,2464452.30640697
"REU",30,2960950.76169467
"SAU",5,3089570.32351139
"SAU",10,5994369.44163624
"SAU",15,10908323.092561
"SAU",20,19169577.1089323
"SAU",25,32206758.5347271
"SAU",30,54794428.1502241
"SDN",5,100858.93837591
"SDN",10,543407.6821658
"SDN",15,861670.491293789
"SDN",20,968378.26591187
"SDN",25,1093461.20757744
"SDN",30,1380159.49833896
"SGP",5,158168.759533048
"SGP",10,1868311.99122762
"SGP",15,5439724.1214357
"SGP",20,10434912.614586
"SGP",25,13961678.7939902
"SGP",30,18011024.7890407
"SLB",5,2554264.55329958
"SLB",10,3324080.5423091
"SLB",15,3838093.97600463
"SLB",20,4398743.8179172
"SLB",25,4901763.0545091
"SLB",30,5279813.89883392
"SOM",5,2918331.09612152
"SOM",10,5434532.73245556
"SOM",15,7962263.61334233
"SOM",20,10441554.3073237
"SOM",25,12879772.5277105
"SOM",30,15149809.3098658
"SXM",5,141555.610988393
"SXM",10,275643.87662293
"SXM",15,308060.203124791
"SXM",20,346470.235838756
"SXM",25,393650.024011031
"SXM",30,400336.184748098
"SYC",5,495552.433097263
"SYC",10,837224.639254982
"SYC",15,999845.533800815
"SYC",20,1040860.23671785
"SYC",25,1046167.56270545
"SYC",30,1093564.75939558
"TCA",5,276382.894092541
"TCA",10,407131.0088353
"TCA",15,441067.745135047
"TCA",20,457246.261521756
"TCA",25,488257.957264762
"TCA",30,513098.146537091
"THA",5,2190324.98722947
"THA",10,5000642.84332809
"THA",15,8075678.35783467
"THA",20,12224471.1463047
"THA",25,15720710.2668071
"THA",30,19495526.7423109
"TKL",5,4926.19337081909
"TKL",10,4926.19337081909
"TKL",15,4926.19337081909
"TKL",20,4926.19337081909
"TKL",25,4926.19337081909
"TKL",30,4926.19337081909
"TLS",5,984425.13384607
"TLS",10,2358142.59951989
"TLS",15,4231278.70360963
"TLS",20,6157930.77217537
"TLS",25,8148042.65941441
"TLS",30,10412934.3783994
"TON",5,398222.772055715
"TON",10,821081.728174515
"TON",15,1048778.91996288
"TON",20,1179341.68729925
"TON",25,1234290.78708967
"TON",30,1277767.56674825
"TTO",5,252778.012993672
"TTO",10,447699.797263077
"TTO",15,560503.567189847
"TTO",20,661120.734843449
"TTO",25,815270.419736298
"TTO",30,1041561.95402921
"TUV",5,44836.1254280209
"TUV",10,46127.8553074002
"TUV",15,9799687.77412974
"TUV",20,30879214.3843549
"TUV",25,62905142.1532082
"TUV",30,81804756.787127
"TWN",5,767907.080301612
"TWN",10,1753456.71795991
"TWN",15,3907876.24990156
"TWN",20,9326421.91759837
"TWN",25,17515066.4391468
"TWN",30,27420944.6620167
"TZA",5,16058863.1857874
"TZA",10,62419849.4693407
"TZA",15,130800016.349567
"TZA",20,207740029.85468
"TZA",25,284715564.712235
"TZA",30,344717197.554244
"UMI",5,0
"UMI",10,0
"UMI",15,0
"UMI",20,0
"UMI",25,0
"UMI",30,0
"USA",5,8916185.15956774
"USA",10,22630265.309294
"USA",15,40014096.3115945
"USA",20,59424943.8807713
"USA",25,81270701.0829057
"USA",30,100482696.437917
"VCT",5,145090.994560718
"VCT",10,228668.007197231
"VCT",15,337333.135135293
"VCT",20,472557.898972451
"VCT",25,563150.818886399
"VCT",30,698810.133401931
"VEN",5,815322.65213073
"VEN",10,2091430.55781559
"VEN",15,3892205.03814447
"VEN",20,6425552.25220044
"VEN",25,9744391.84459477
"VEN",30,13462605.110632
"VGB",5,274842.877755834
"VGB",10,405409.35165997
"VGB",15,557993.494270195
"VGB",20,730606.268915971
"VGB",25,907327.060598895
"VGB",30,1103344.10973552
"VIR",5,843909.962852718
"VIR",10,1627458.36202045
"VIR",15,2177238.10454194
"VIR",20,2434512.32996055
"VIR",25,2599435.2669734
"VIR",30,2758802.1564527
"VNM",5,4392665.02381658
"VNM",10,10884740.8612151
"VNM",15,18253181.8090451
"VNM",20,27030941.863271
"VNM",25,35256635.5642701
"VNM",30,43096249.070084
"VUT",5,811029.40248168
"VUT",10,1025664.84738259
"VUT",15,1140728.63652275
"VUT",20,1252772.4368091
"VUT",25,1456995.60920694
"VUT",30,1599598.70549601
"WLF",5,38913.6481199265
"WLF",10,44177.5942747146
"WLF",15,44177.5942747146
"WLF",20,44177.5942747146
"WLF",25,44177.5942747146
"WLF",30,44177.5942747146
"WSM",5,453061.089013253
"WSM",10,789729.737299576
"WSM",15,980194.199554936
"WSM",20,1101478.2574483
"WSM",25,1194633.16300006
"WSM",30,1253366.22978018
"YEM",5,1004105.4777858
"YEM",10,2593328.42686856
"YEM",15,3962546.33428798
"YEM",20,5517407.46800983
"YEM",25,7260710.74036965
"YEM",30,9588145.67294913
"ZAF",5,1954.7145
"ZAF",10,21030.172
"ZAF",15,79412.82
"ZAF",20,113902.14
"ZAF",25,129764.28
"ZAF",30,140653.64
